2013/10/18 10:14:16 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: Loading user properties from: C:\Users\Hyoung\Downloads\apache-jmeter-2.9\apache-jmeter-2.9\bin\user.properties 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: Loading system properties from: C:\Users\Hyoung\Downloads\apache-jmeter-2.9\apache-jmeter-2.9\bin\system.properties 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: Copyright (c) 1998-2013 The Apache Software Foundation 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: Version 2.9 r1437961 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: java.version=1.7.0_07 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: os.name=Windows 7 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: os.arch=amd64 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: os.version=6.1 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: JMeterHome=C:\Users\Hyoung\Downloads\apache-jmeter-2.9\apache-jmeter-2.9 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: user.dir  =C:\Users\Hyoung\workspace\MovieProject\JMeter 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: PWD       =C:\Users\Hyoung\workspace\MovieProject\JMeter 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: IP: 192.168.0.112 Name: PC20167 FullName: PC20167.catalystsolves.com 
2013/10/18 10:14:17 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2013/10/18 10:14:21 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2013/10/18 10:14:21 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2013/10/18 10:14:23 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2013/10/18 10:14:23 INFO  - jmeter.JMeter: Loading file: Jmeter1.jmx 
2013/10/18 10:14:23 INFO  - jmeter.services.FileServer: Default base='C:\Users\Hyoung\workspace\MovieProject\JMeter' 
2013/10/18 10:14:23 INFO  - jmeter.services.FileServer: Set new base='C:\Users\Hyoung\workspace\MovieProject\JMeter' 
2013/10/18 10:14:24 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2013/10/18 10:14:24 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2013/10/18 10:14:24 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1427507 
2013/10/18 10:14:24 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.4 
2013/10/18 10:14:24 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2013/10/18 10:14:25 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: false Prefix: COOKIE_ 
2013/10/18 10:14:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2013/10/18 10:14:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2013/10/18 10:14:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2013/10/18 10:14:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2013/10/18 10:14:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2013/10/18 10:14:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2013/10/18 10:14:26 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Reuse SSL session context on subsequent iterations: true 
2013/10/18 10:14:26 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2013/10/18 10:14:27 INFO  - jmeter.services.FileServer: Set new base='C:\Users\Hyoung\workspace\MovieProject\JMeter' 
2013/10/18 10:14:29 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2013/10/18 10:14:29 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2013/10/18 10:14:29 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
